Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
04.01.2016|17.828|13.814|6.152|17.810|24.796|3.795|3.621|27.020|36.609|3.199|3.537|8.568|1.782|6.335|37.214|20.817|2.082|1.427|5.705|2.800|16.734|52.598|6.288|5.982|33.904|2.946|17.393|68.566|8.399|24.794|34.403|1.593
05.01.2016|18.038|13.814|6.279|18.042|24.909|3.856|3.622|27.020|36.892|3.244|3.536|8.572|1.814|6.410|37.765|21.127|2.116|1.454|5.791|2.819|16.888|53.636|6.272|5.969|34.262|2.929|17.648|69.597|8.441|25.145|34.690|1.612
06.01.2016|17.798|13.818|6.233|17.865|24.918|3.845|3.623|27.025|36.829|3.250|3.538|8.586|1.806|6.389|37.692|21.255|2.100|1.443|5.736|2.806|16.741|53.529|6.231|5.976|33.815|2.927|17.565|69.563|8.361|25.196|34.761|1.591
07.01.2016|17.378|13.820|6.142|17.595|24.857|3.772|3.623|27.030|36.272|3.208|3.538|8.560|1.786|6.331|37.187|21.163|2.069|1.406|5.662|2.786|16.415|52.776|6.216|5.969|33.053|2.913|17.314|68.541|8.238|24.873|34.433|1.545
08.01.2016|17.438|13.816|6.185|17.632|24.876|3.774|3.622|27.020|36.246|3.204|3.535|8.565|1.787|6.342|37.306|21.027|2.071|1.398|5.679|2.791|16.438|52.756|6.206|5.969|33.609|2.917|17.310|68.597|8.322|24.873|34.433|1.554
11.01.2016|17.414|13.816|6.171|17.617|24.877|3.777|3.622|27.020|36.169|3.199|3.535|8.515|1.788|6.310|37.152|21.054|2.064|1.391|5.661|2.791|16.301|52.644|6.191|5.964|32.953|2.914|17.312|68.418|8.221|24.815|34.383|1.498
12.01.2016|17.484|13.815|6.189|17.586|24.884|3.792|3.621|27.020|35.991|3.213|3.523|8.503|1.793|6.329|37.283|21.137|2.064|1.402|5.651|2.803|16.333|52.683|6.204|5.960|32.692|2.921|17.354|68.639|8.235|24.937|34.466|1.506
13.01.2016|17.532|13.817|6.255|17.568|24.732|3.800|3.621|27.020|36.023|3.220|3.524|8.566|1.807|6.339|37.383|21.152|2.077|1.402|5.706|2.827|16.357|52.697|6.218|5.964|32.836|2.922|17.442|68.918|8.284|24.983|34.476|1.515
14.01.2016|17.214|13.817|6.179|17.267|24.668|3.764|3.621|27.020|35.694|3.187|3.526|8.552|1.783|6.286|36.777|21.067|2.045|1.382|5.644|2.812|15.987|51.891|6.178|5.958|32.435|2.910|17.244|68.274|8.181|24.804|34.352|1.497
15.01.2016|17.001|13.816|6.122|17.051|24.678|3.760|3.620|27.020|35.477|3.177|3.525|8.594|1.782|6.263|36.543|21.145|2.033|1.366|5.626|2.812|15.802|51.691|6.124|5.955|31.877|2.889|17.171|68.067|8.142|24.756|34.251|1.483
